Five-Digit ZIP Code,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,zip,tract,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
21210,2017,1.30,538.20,250.39,182.18,21210,24510271503,BALTIMORE,MD,0.102652825836216,0.423173803526448,0.229787234042553,0.126617967448417
21211,2017,4.44,810.42,363.08,272.87,21211,24510271503,BALTIMORE,MD,0.00114329268292682,0.00138792505204718,0.0,0.00110671936758893
21213,2017,6.25,224.91,175.51,151.49,21213,24510260303,BALTIMORE,MD,0.0644908301158301,0.149462365591397,0.0224403927068723,0.0671826115593611
21223,2017,9.63,226.90,.,167.30,21223,24510180200,BALTIMORE,MD,0.0363096443274616,0.0178217821782178,0.0508083140877598,0.0357892348703987
22314,2017,0.24,921.35,292.82,238.08,22314,51510200701,ALEXANDRIA,VA,0.0229065466375506,0.0461811722912966,0.0461095100864553,0.026980334497335
23434,2017,5.78,541.81,229.18,173.34,23434,51800075404,SUFFOLK,VA,0.0221525780277336,0.0136054421768707,0.0052539404553415,0.0211877633837989
23518,2017,3.69,260.08,215.73,180.44,23518,51710006601,NORFOLK,VA,0.0312739965095986,0.00739176346356916,0.00189214758751182,0.0279870169636842
23663,2017,8.05,199.33,.,176.90,23663,51650011100,HAMPTON,VA,0.000165947560570859,0.0,0.0,0.000154178230033919
23669,2017,1.08,335.18,184.75,159.93,23669,51650011100,HAMPTON,VA,5.27148128624143e-05,0.0,0.0,4.7001316036849e-05
23702,2017,7.23,183.24,.,166.31,23702,51740980100,PORTSMOUTH,VA,0.0,0.0066006600660066,0.0,0.00033167495854063
23704,2017,-9.20,182.96,.,156.30,23704,51740980100,PORTSMOUTH,VA,0.00328619796853216,0.0116166505324298,0.003003003003003,0.00400306617834937
24504,2017,5.75,175.23,.,157.15,24504,51680000500,LYNCHBURG,VA,0.135145267104029,0.613695090439276,0.435754189944134,0.209061388588217
25003,2017,.,.,.,.,25003,54039012300,ALUM CREEK,WV,0.428444444444444,0.162790697674418,0.153846153846153,0.415749364944961
25071,2017,9.36,185.34,.,126.34,25071,54039011000,ELKVIEW,WV,0.035823754789272,0.0729166666666666,0.0571428571428571,0.0373951112732579
25302,2017,2.44,179.58,168.17,115.34,25302,54039011000,CHARLESTON,WV,0.255965292841648,0.217579250720461,0.214788732394366,0.251832686502802
25303,2017,1.96,189.20,178.99,129.95,25303,54039012800,SOUTH CHARLESTON,WV,0.413574660633484,0.0387596899224806,0.363636363636363,0.365769891242129
25304,2017,-3.89,211.99,195.31,119.55,25304,54039012300,CHARLESTON,WV,0.00965160075329566,0.0,0.0,0.00790742526518804
25306,2017,.,126.54,.,.,25306,54039011401,CHARLESTON,WV,0.287829360100376,0.178571428571428,0.626459143968871,0.305006890215893
25309,2017,2.00,209.52,205.92,135.48,25309,54039012800,SOUTH CHARLESTON,WV,0.00908265213442325,0.00154559505409582,0.0,0.00815944355270197
25309,2017,2.00,209.52,205.92,135.48,25309,54039012300,SOUTH CHARLESTON,WV,0.168634574629125,0.187017001545595,0.0627802690582959,0.167067950775815
25311,2017,-7.07,151.69,.,115.10,25311,54039011401,CHARLESTON,WV,0.0931849791376912,0.0138568129330254,0.0,0.082158556919812
25312,2017,-1.35,132.54,.,129.81,25312,54039012300,CHARLESTON,WV,0.000476190476190476,0.0,0.0,0.000454648783814503
25312,2017,-1.35,132.54,.,129.81,25312,54039011000,CHARLESTON,WV,0.0242857142857142,0.0116959064327485,0.0,0.0236417367583541
25313,2017,1.01,174.85,181.59,126.81,25313,54039012800,CHARLESTON,WV,0.000465621604842464,0.0,0.0,0.00042087542087542
25314,2017,-2.70,232.64,184.32,125.03,25314,54039012300,CHARLESTON,WV,0.0618629671574178,0.0825688073394495,0.014388489208633,0.0615819970354399
25314,2017,-2.70,232.64,184.32,125.03,25314,54039012800,CHARLESTON,WV,0.0283125707814269,0.0963302752293577,0.0,0.0297803530521493
25315,2017,.,.,.,.,25315,54039012300,CHARLESTON,WV,0.50876168224299,0.657342657342657,0.728395061728395,0.52892561983471
27021,2017,9.50,328.68,183.34,127.51,27021,37067002801,KING,NC,0.0077238951896754,0.00146842878120411,0.0,0.00722543352601156
27023,2017,5.06,291.72,176.80,126.46,27023,37067004011,LEWISVILLE,NC,0.440724815724815,0.780600461893764,0.746987951807228,0.465281730221969
27040,2017,7.04,197.31,166.96,121.48,27040,37067002801,PFAFFTOWN,NC,0.129843985908404,0.00796812749003984,0.0555555555555555,0.124719101123595
27050,2017,6.38,181.69,.,130.70,27050,37067002801,TOBACCOVILLE,NC,0.715880263825469,0.783783783783783,1.0,0.717693836978131
27051,2017,4.52,191.54,170.55,121.80,27051,37067003003,WALKERTOWN,NC,0.0270320656226696,0.103092783505154,0.52127659574468,0.0389632979648634
27101,2017,0.75,230.15,185.04,125.63,27101,37067003003,WINSTON SALEM,NC,0.0903672680412371,0.00718907260963335,0.0,0.0697873380591542
27104,2017,1.78,407.26,180.04,130.25,27104,37067004011,WINSTON SALEM,NC,0.0240597527926498,0.0306905370843989,0.0,0.0235536939233897
27106,2017,4.32,387.40,165.02,122.97,27106,37067002801,WINSTON SALEM,NC,0.00101338512857323,0.0101419878296146,0.0,0.00146627565982404
27107,2017,3.79,181.10,162.19,114.79,27107,37067003402,WINSTON SALEM,NC,0.0497025171624713,0.0616246498599439,0.0103626943005181,0.0492765957446808
27214,2017,8.08,198.60,181.06,128.09,27214,37081015100,BROWNS SUMMIT,NC,0.221599859968492,0.0955414012738853,0.0259740259740259,0.21264744429882
27215,2017,2.84,397.54,155.80,110.99,27215,37081017200,BURLINGTON,NC,0.0219173200285103,0.00254360465116279,0.0,0.0189000833270206
27235,2017,8.78,184.78,.,132.33,27235,37081016201,COLFAX,NC,0.442983709631323,0.78515625,0.157894736842105,0.464758876523582
27235,2017,8.78,184.78,.,132.33,27235,37081016204,COLFAX,NC,0.0154329808516719,0.1015625,0.210526315789473,0.0222575516693163
27244,2017,5.09,179.89,148.18,109.62,27244,37081015100,ELON,NC,0.00445148634374528,0.00454545454545454,0.0,0.00443721342996598
27249,2017,7.29,203.24,158.72,115.82,27249,37081015100,GIBSONVILLE,NC,0.0598036298720618,0.028391167192429,0.0,0.0577977780902826
27260,2017,4.27,156.97,138.97,105.21,27260,37081016409,HIGH POINT,NC,0.00164962058726492,0.000402090872537193,0.0,0.00127799415774099
27262,2017,4.15,405.53,157.49,112.07,27262,37057060602,HIGH POINT,NC,0.052125850340136,0.00508044030482641,0.00590318772136953,0.0420869797581668
27263,2017,3.57,204.01,165.20,115.61,27263,37081016600,HIGH POINT,NC,0.0922630560928433,0.0511658031088082,0.0209424083769633,0.0848687428664601
27265,2017,4.05,337.35,152.33,113.47,27265,37081016409,HIGH POINT,NC,0.00145206064488575,0.00219138056975894,0.0,0.00142934404697519
27265,2017,4.05,337.35,152.33,113.47,27265,37081016204,HIGH POINT,NC,0.0688874653000213,0.0423666910153396,0.0072595281306715,0.0648613149965232
27282,2017,1.22,171.99,145.81,112.79,27282,37081016408,JAMESTOWN,NC,0.104014598540145,0.010204081632653,0.05,0.095755587451302
27282,2017,1.22,171.99,145.81,112.79,27282,37081016600,JAMESTOWN,NC,0.0223540145985401,0.0481049562682215,0.0133333333333333,0.0238876358417059
27282,2017,1.22,171.99,145.81,112.79,27282,37081016409,JAMESTOWN,NC,0.289575729927007,0.62536443148688,0.126666666666666,0.308181258970678
27283,2017,1.01,183.84,.,124.39,27283,37081017200,JULIAN,NC,0.0330310880829015,0.03125,0.0,0.0329740012682308
27284,2017,4.21,384.63,166.22,122.59,27284,37067003003,KERNERSVILLE,NC,0.0140427581607321,0.0131463628396143,0.00305810397553516,0.0137343358395989
27284,2017,4.21,384.63,166.22,122.59,27284,37067003402,KERNERSVILLE,NC,0.00755863499944421,0.00262927256792287,0.0,0.00701754385964912
27284,2017,4.21,384.63,166.22,122.59,27284,37081016201,KERNERSVILLE,NC,0.0192671088221127,0.0100788781770376,0.0,0.0181453634085213
27298,2017,5.74,169.73,.,111.64,27298,37081017200,LIBERTY,NC,0.00806614236741278,0.0,0.0,0.0076745970836531
27301,2017,7.71,161.13,.,119.56,27301,37081017200,MC LEANSVILLE,NC,0.138946068340881,0.113989637305699,0.416666666666666,0.138652972545921
27301,2017,7.71,161.13,.,119.56,27301,37081015100,MC LEANSVILLE,NC,0.0514615067929188,0.00518134715025906,0.0,0.0495753505826585
27310,2017,4.41,208.78,166.56,126.16,27310,37081016003,OAK RIDGE,NC,0.154083998969337,0.114613180515759,0.272727272727272,0.15145813734713
27310,2017,4.41,208.78,166.56,126.16,27310,37081016201,OAK RIDGE,NC,0.254315897964442,0.157593123209169,0.363636363636363,0.246942615239887
27320,2017,3.75,203.27,195.20,119.51,27320,37081015100,REIDSVILLE,NC,0.00148664581944942,0.0014760147601476,0.0,0.00146123026160735
27358,2017,3.01,201.34,177.70,125.25,27358,37081016003,SUMMERFIELD,NC,0.0717394808963404,0.0,0.0,0.0696073830752385
27360,2017,6.76,268.53,169.07,115.26,27360,37057060602,THOMASVILLE,NC,0.033858831959871,0.0611924686192468,0.0208574739281575,0.0354937656853762
27377,2017,9.13,157.26,.,116.01,27377,37081017200,WHITSETT,NC,0.360857908847184,0.185770750988142,0.138613861386138,0.349638594721801
27405,2017,0.36,161.04,142.73,103.70,27405,37081015100,GREENSBORO,NC,0.0246524479751316,0.000953288846520495,0.0,0.020916225588611
27405,2017,0.36,161.04,142.73,103.70,27405,37081017200,GREENSBORO,NC,0.00954149037216129,0.00667302192564346,0.000936768149882903,0.00865121372513232
27406,2017,4.35,271.17,143.47,110.19,27406,37081017200,GREENSBORO,NC,0.0261378836629189,0.00407539480387162,0.0,0.0234799087784665
27406,2017,4.35,271.17,143.47,110.19,27406,37081016600,GREENSBORO,NC,3.6151982936264e-05,0.0,0.0,3.21202582468763e-05
