Place_TractID,SiteId,PM2.5_Exceptional,PM2.5_ExceedCount,PM2.5_Max,Ozone_Exceptional,Ozone_ExceedCount,Ozone_Max
0665000-06071006402,366.0,0,1.0,38.2,0.0,112.0,0.136
0665000-06071007409,366.0,0,1.0,38.2,0.0,112.0,0.136
0665000-06071007601,366.0,0,1.0,38.2,0.0,112.0,0.136
0665000-06071010802,366.0,0,1.0,38.2,0.0,112.0,0.136
0665000-06071011002,366.0,0,1.0,38.2,0.0,112.0,0.136
0665042-06111001302,400.0,0,13.0,231.6,0.0,0.0,0.07
0666000-06073005500,369.0,0,1.0,42.7,0.0,1.0,0.074
0666000-06073006200,376.0,0,0.0,27.4,0.0,6.0,0.083
0666000-06073009901,369.0,0,1.0,42.7,0.0,1.0,0.074
0666000-06073017006,376.0,0,0.0,27.4,0.0,6.0,0.083
0666000-06073017306,376.0,0,0.0,27.4,0.0,6.0,0.083
0666000-06073020710,376.0,0,0.0,27.4,0.0,6.0,0.083
0667000-06075980200,382.0,0,7.0,49.9,0.0,0.0,0.054
0667000-06075980300,382.0,0,7.0,49.9,0.0,0.0,0.054
0667000-06075980501,382.0,0,7.0,49.9,0.0,0.0,0.054
0667000-06075980600,382.0,0,7.0,49.9,0.0,0.0,0.054
0667000-06075980900,382.0,0,7.0,49.9,0.0,0.0,0.054
0668000-06085502001,417.0,0,6.0,49.7,0.0,4.0,0.098
0668000-06085502603,417.0,0,6.0,49.7,0.0,4.0,0.098
0668000-06085502604,417.0,0,6.0,49.7,0.0,4.0,0.098
0668000-06085504101,417.0,0,6.0,49.7,0.0,4.0,0.098
0668000-06085504201,417.0,0,6.0,49.7,0.0,4.0,0.098
0668000-06085504417,417.0,0,6.0,49.7,0.0,4.0,0.098
0668000-06085505900,417.0,0,6.0,49.7,0.0,4.0,0.098
0668000-06085506701,417.0,0,6.0,49.7,0.0,4.0,0.098
0668000-06085507807,417.0,0,6.0,49.7,0.0,4.0,0.098
0668000-06085512100,417.0,0,6.0,49.7,0.0,4.0,0.098
0668084-06001433800,168.0,0,7.0,70.2,0.0,2.0,0.1
0668196-06073019208,376.0,0,0.0,27.4,0.0,6.0,0.083
0668196-06073020013,376.0,0,0.0,27.4,0.0,6.0,0.083
0668196-06073020309,376.0,0,0.0,27.4,0.0,6.0,0.083
0668252-06081606900,397.0,0,6.0,60.8,0.0,2.0,0.086
0668378-06013345105,168.0,0,7.0,70.2,0.0,2.0,0.1
0669000-06059075504,308.0,0,9.0,56.2,0.0,4.0,0.076
0669000-06059075806,308.0,0,9.0,56.2,0.0,4.0,0.076
0669000-06059075902,308.0,0,9.0,56.2,0.0,4.0,0.076
0669000-06059076000,308.0,0,9.0,56.2,0.0,4.0,0.076
0669070-06083000103,400.0,0,13.0,231.6,0.0,0.0,0.07
