tract,HPI
29021002200,236.66
29021002700,286.35
29021002900,202.29
29037060100,367.93
29037060302,344.96
29047021900,223.91
29047022100,383.36
29077004102,338.61
29077004201,338.61
29095004400,237.40
29095005400,431.49
29095005500,431.49
29095012802,322.95
29095013504,334.52
29095015100,307.13
29095018100,334.52
29095018200,334.52
29095019300,348.57
29095988300,339.26
29165030101,411.13
29165030600,223.97
29183312095,382.60
30063000400,961.51
30063000901,961.51
30063001400,811.76
30111001401,343.26
31055007303,292.88
31055007442,365.11
31055007470,184.83
31055007472,184.83
31055007515,275.98
31109001900,125.38
31109003500,264.55
31109003604,453.98
31109003720,426.97
31109010202,283.61
31109983200,233.65
32003000900,407.82
32003001501,407.82
32003002843,240.38
32003003242,237.75
32003005010,343.56
32003005016,343.56
32003006001,221.32
32003007800,211.59
32031001010,457.53
32031001011,457.53
32031001013,457.53
32031001802,468.01
32031002103,541.15
32031002210,529.45
32031002302,286.12
32031002618,431.28
32031980000,541.15
34017006900,549.20
35001000801,683.64
35001003501,426.09
35001003731,381.00
35001004300,380.13
35001004401,380.13
35001004603,380.13
35001940600,398.12
35013001102,327.69
35013001103,327.69
35013001204,306.47
35013001303,206.50
35013001307,206.50
35013001500,327.69
35049000400,727.69
35049001203,438.60
35049001205,438.60
35049001302,705.72
35049010204,162.08
36005011000,533.92
36005027600,533.92
36005028400,969.82
36005031900,299.76
36047016400,807.13
36047045000,994.64
36047107000,810.91
36067000100,173.06
36081038302,581.02
36081042600,741.96
36081056100,500.35
36081064102,866.50
36081128300,648.14
36081138502,753.72
36081140901,648.14
36085001800,898.63
36085022800,979.76
37021002205,328.24
37021002505,479.41
37021002506,479.41
37021003001,389.97
37025040702,433.28
37025040703,433.28
37051001604,195.04
37051002401,160.79
37057060602,405.53
37067002801,387.40
37067003003,384.63
37067003402,384.63
37067004011,407.26
37071030802,441.14
37071030902,189.70
37071031402,407.63
37071032200,361.71
37071033202,441.14
37071033400,441.14
37081015100,203.27
37081016003,389.38
37081016201,384.63
37081016204,337.35
37081016408,171.99
37081016409,337.35
37081016600,271.17
37081017200,397.54
37119000300,638.91
37119000700,780.47
37119002600,638.91
37119004900,171.87
37119005615,317.65
37119005616,317.65
37119005710,398.44
37119005829,726.46
37119005833,371.42
37119005911,239.59
37133001102,167.03
37147001003,356.28
37147001200,356.28
37147001301,165.48
37147001700,280.33
37147002002,280.33
37183053606,287.30
37183053712,436.16
37183053721,446.34
37183054113,487.40
37183054210,226.76
38017010109,329.15
39035111800,73.17
39035111902,73.17
39035113101,73.17
39035115200,139.99
39035115300,139.99
39035116100,151.66
39035118500,228.87
39035119100,228.87
39049006321,684.43
39049006500,684.43
39049007120,430.11
39049007424,417.22
39049007921,412.99
39049008330,215.60
39049008400,941.86
39049009331,264.61
39049009381,343.96
39049009390,343.96
39049009410,292.90
39049009420,292.90
39049009520,288.05
39049009590,288.05
39049009800,380.56
39049010100,417.22
39061001100,375.01
39061004500,369.70
39061004702,870.53
39061005400,647.50
39061010700,319.65
39061010800,412.98
39061020901,206.49
39061021401,319.65
39061024200,489.02
39061024400,533.59
39095008400,220.50
39099800400,138.93
39099804300,138.93
39113001700,172.01
39113070201,197.19
39113070300,197.19
39113080100,237.46
39113080400,237.46
39113080700,256.15
39113091000,353.05
39113110202,293.23
39151711600,321.84
39151711800,391.49
39151712300,308.76
39151713100,366.16
39153520301,325.59
39153531002,359.28
39153531101,359.28
39153532902,381.58
39153533400,376.32
40017300201,361.70
40017301001,361.70
40017301100,361.70
40027200100,470.77
40027200700,381.14
40027202005,347.52
40027202107,347.52
40027202201,470.77
40027202203,470.77
40031002301,269.75
40031002401,166.85
40109100600,628.65
40109101100,628.65
40109101600,435.63
40109102500,536.67
40109103400,536.67
40109103500,536.67
40109103602,536.67
40109103700,347.52
40109103800,347.52
40109104000,161.47
40109105800,536.67
40109106000,177.73
40109106403,498.34
40109106903,337.21
40109106910,337.21
40109107303,126.09
40109108005,216.07
40109108602,347.52
40109109001,227.21
40109109100,492.93
40109109201,380.74
40109109202,216.07
40113940005,325.87
40125501003,269.85
40143002900,212.74
40143006600,205.21
40143007520,350.29
40143009104,161.81
40143011100,134.43
40145030402,377.33
40145030403,377.33
40145030505,377.33
40145030506,377.33
40145030511,377.33
40145030601,377.33
40145030800,377.33
41005020800,763.62
41005020900,763.62
41005022206,573.53
41005022208,573.53
41017000100,968.49
41029000900,677.70
41029001001,677.70
41029001601,677.70
41039001002,784.81
41039004100,804.30
41047001801,729.57
41047002502,660.33
41051009301,836.89
41051009803,682.20
41051009903,666.81
41051010200,743.57
41051010303,682.20
41067030102,915.70
41067030300,915.70
41067030402,970.79
41067030502,842.98
41067030600,842.98
41067031403,970.79
41067031606,710.67
42003020300,440.31
42003101600,528.84
42003120400,528.84
42003120700,528.84
42003120800,528.84
42003141000,391.28
42003241200,292.60
42003250700,292.60
42003310300,305.63
42003561700,216.81
42003980000,361.37
42003981800,528.84
42101008801,543.58
42101014800,156.60
42101036400,580.58
42101038100,509.21
42101980000,725.09
42101980100,721.58
42101980200,509.21
45015020405,271.60
45019002103,368.10
45019003200,202.68
45019004400,780.65
45019005400,780.65
45063020510,298.05
45063021112,297.47
45079002604,665.09
45079010407,298.05
45079010409,298.05
45079010412,298.05
45079010501,160.02
45079010502,281.44
45079010804,254.94
45079010806,160.02
45079011201,531.14
45079011202,531.14
45079011301,531.14
45079011305,531.14
45079011412,254.94
45079011414,175.77
45079011606,290.36
45079011701,665.09
45079011901,290.36
45091060906,386.46
45091061302,414.80
45091061403,414.80
46099010401,237.06
46099010404,328.55
46099010406,302.73
46103010903,265.11
47037016000,336.16
47037017200,536.27
47037017701,536.27
47037018601,688.36
47037018602,655.88
47037018700,418.02
47065010413,464.10
47065010434,464.10
47065010902,593.19
47065011700,310.82
47093004606,289.11
47093004610,289.11
47093005202,161.52
47093005301,196.79
47093005401,275.32
47093005603,270.71
47093005604,270.71
47093005701,465.70
47093005704,465.70
47093005709,340.96
47093005712,465.70
47093005807,340.96
47093006104,245.65
47093006207,245.65
47149040302,301.05
47149040702,299.03
47149040901,300.87
47157020622,293.38
47157021139,171.39
47157980100,362.29
47157980400,373.91
48029110900,332.35
48029120400,634.17
48029121501,327.96
48029121508,196.00
48029121907,216.78
48029131504,150.69
48029131506,196.00
48029131606,202.71
48029131802,219.07
48029141900,219.07
48029152100,154.98
48029171919,202.02
48029171922,202.02
48029172007,231.49
