TractFIPS,tract,usps_zip_pref_state,usps_zip_pref_city,StateAbbr,PlaceName
37183053721,37183053721.0,NC,RALEIGH,NC,Raleigh
37147001700,37147001700.0,NC,FARMVILLE,NC,Greenville
37147001700,37147001700.0,NC,GREENVILLE,NC,Greenville
37147002002,37147002002.0,NC,GREENVILLE,NC,Greenville
37147002002,37147002002.0,NC,TARBORO,NC,Greenville
37147001200,37147001200.0,NC,GRIMESLAND,NC,Greenville
37147001200,37147001200.0,NC,GREENVILLE,NC,Greenville
37147001200,37147001200.0,NC,AYDEN,NC,Greenville
37147001200,37147001200.0,NC,GRIFTON,NC,Greenville
37147001200,37147001200.0,NC,VANCEBORO,NC,Greenville
37147001200,37147001200.0,NC,WINTERVILLE,NC,Greenville
37147001003,37147001003.0,NC,GREENVILLE,NC,Greenville
37071032200,37071032200.0,NC,BELMONT,NC,Gastonia
37071032200,37071032200.0,NC,CRAMERTON,NC,Gastonia
37071032200,37071032200.0,NC,GASTONIA,NC,Gastonia
37071032200,37071032200.0,NC,LOWELL,NC,Gastonia
37071030802,37071030802.0,NC,BESSEMER CITY,NC,Gastonia
37071030802,37071030802.0,NC,DALLAS,NC,Gastonia
37071030802,37071030802.0,NC,GASTONIA,NC,Gastonia
37025040703,37025040703.0,NC,CONCORD,NC,Concord
37025040703,37025040703.0,NC,KANNAPOLIS,NC,Concord
37025040703,37025040703.0,NC,KANNAPOLIS,NC,Concord
37071030902,37071030902.0,NC,DALLAS,NC,Gastonia
37071033400,37071033400.0,NC,GASTONIA,NC,Gastonia
37071033400,37071033400.0,NC,GASTONIA,NC,Gastonia
37071033202,37071033202.0,NC,GASTONIA,NC,Gastonia
37071033202,37071033202.0,NC,GASTONIA,NC,Gastonia
37071033202,37071033202.0,NC,GASTONIA,NC,Gastonia
37071031402,37071031402.0,NC,GASTONIA,NC,Gastonia
37025040702,37025040702.0,NC,KANNAPOLIS,NC,Concord
37119005710,37119005710.0,NC,MATTHEWS,NC,Charlotte
37119005710,37119005710.0,NC,CHARLOTTE,NC,Charlotte
37119005833,37119005833.0,NC,MATTHEWS,NC,Charlotte
37119005833,37119005833.0,NC,CHARLOTTE,NC,Charlotte
37119005829,37119005829.0,NC,PINEVILLE,NC,Charlotte
37119005829,37119005829.0,NC,CHARLOTTE,NC,Charlotte
37119005829,37119005829.0,NC,CHARLOTTE,NC,Charlotte
37119000300,37119000300.0,NC,CHARLOTTE,NC,Charlotte
37119000300,37119000300.0,NC,CHARLOTTE,NC,Charlotte
37119002600,37119002600.0,NC,CHARLOTTE,NC,Charlotte
37119002600,37119002600.0,NC,CHARLOTTE,NC,Charlotte
37119000700,37119000700.0,NC,CHARLOTTE,NC,Charlotte
37119000700,37119000700.0,NC,CHARLOTTE,NC,Charlotte
37119004900,37119004900.0,NC,CHARLOTTE,NC,Charlotte
37119005615,37119005615.0,NC,CHARLOTTE,NC,Charlotte
37119005615,37119005615.0,NC,CHARLOTTE,NC,Charlotte
37119005616,37119005616.0,NC,CHARLOTTE,NC,Charlotte
37119005911,37119005911.0,NC,CHARLOTTE,NC,Charlotte
37119005911,37119005911.0,NC,CHARLOTTE,NC,Charlotte
37051002401,37051002401.0,NC,FAYETTEVILLE,NC,Fayetteville
37051002401,37051002401.0,NC,FAYETTEVILLE,NC,Fayetteville
37051001604,37051001604.0,NC,FAYETTEVILLE,NC,Fayetteville
37051001604,37051001604.0,NC,HOPE MILLS,NC,Fayetteville
37133001102,37133001102.0,NC,JACKSONVILLE,NC,Jacksonville
37147001301,37147001301.0,NC,WINTERVILLE,NC,Greenville
37021002205,37021002205.0,NC,ARDEN,NC,Asheville
37021002205,37021002205.0,NC,FLETCHER,NC,Asheville
37021002505,37021002505.0,NC,CANDLER,NC,Asheville
37021002505,37021002505.0,NC,ASHEVILLE,NC,Asheville
37021002506,37021002506.0,NC,CANDLER,NC,Asheville
37021002506,37021002506.0,NC,ASHEVILLE,NC,Asheville
37021003001,37021003001.0,NC,SWANNANOA,NC,Asheville
37021003001,37021003001.0,NC,ASHEVILLE,NC,Asheville
45079011414,45079011414.0,SC,ELGIN,SC,Columbia
45079011414,45079011414.0,SC,COLUMBIA,SC,Columbia
45079011901,45079011901.0,SC,HOPKINS,SC,Columbia
45079011901,45079011901.0,SC,COLUMBIA,SC,Columbia
45079011606,45079011606.0,SC,HOPKINS,SC,Columbia
45079011606,45079011606.0,SC,COLUMBIA,SC,Columbia
45063021112,45063021112.0,SC,IRMO,SC,Columbia
45063021112,45063021112.0,SC,COLUMBIA,SC,Columbia
45079010502,45079010502.0,SC,COLUMBIA,SC,Columbia
45079010502,45079010502.0,SC,COLUMBIA,SC,Columbia
45079011701,45079011701.0,SC,COLUMBIA,SC,Columbia
45079011701,45079011701.0,SC,COLUMBIA,SC,Columbia
45079011701,45079011701.0,SC,COLUMBIA,SC,Columbia
45079010806,45079010806.0,SC,COLUMBIA,SC,Columbia
45079010804,45079010804.0,SC,COLUMBIA,SC,Columbia
45079010804,45079010804.0,SC,COLUMBIA,SC,Columbia
45079010804,45079010804.0,SC,COLUMBIA,SC,Columbia
45079010501,45079010501.0,SC,COLUMBIA,SC,Columbia
45079011201,45079011201.0,SC,COLUMBIA,SC,Columbia
45079011201,45079011201.0,SC,COLUMBIA,SC,Columbia
45079011202,45079011202.0,SC,COLUMBIA,SC,Columbia
45079011202,45079011202.0,SC,COLUMBIA,SC,Columbia
45079002604,45079002604.0,SC,COLUMBIA,SC,Columbia
45079011305,45079011305.0,SC,COLUMBIA,SC,Columbia
45079011305,45079011305.0,SC,COLUMBIA,SC,Columbia
45079011301,45079011301.0,SC,COLUMBIA,SC,Columbia
45079011301,45079011301.0,SC,COLUMBIA,SC,Columbia
45063020510,45063020510.0,SC,COLUMBIA,SC,Columbia
45079010409,45079010409.0,SC,COLUMBIA,SC,Columbia
45079010412,45079010412.0,SC,COLUMBIA,SC,Columbia
45079010407,45079010407.0,SC,COLUMBIA,SC,Columbia
45079011412,45079011412.0,SC,COLUMBIA,SC,Columbia
45019004400,45019004400.0,SC,CHARLESTON,SC,Charleston
45019004400,45019004400.0,SC,NORTH CHARLESTON,SC,Charleston
45019005400,45019005400.0,SC,CHARLESTON,SC,North Charleston
45019005400,45019005400.0,SC,NORTH CHARLESTON,SC,North Charleston
45019003200,45019003200.0,SC,CHARLESTON,SC,North Charleston
45019003200,45019003200.0,SC,NORTH CHARLESTON,SC,North Charleston
45015020405,45015020405.0,SC,HUGER,SC,Charleston
45015020405,45015020405.0,SC,MOUNT PLEASANT,SC,Charleston
45015020405,45015020405.0,SC,CHARLESTON,SC,Charleston
45019002103,45019002103.0,SC,JOHNS ISLAND,SC,Charleston
45091061302,45091061302.0,SC,EDGEMOOR,SC,Rock Hill
45091061302,45091061302.0,SC,MC CONNELLS,SC,Rock Hill
45091061302,45091061302.0,SC,ROCK HILL,SC,Rock Hill
45091061403,45091061403.0,SC,MC CONNELLS,SC,Rock Hill
45091061403,45091061403.0,SC,ROCK HILL,SC,Rock Hill
45091061403,45091061403.0,SC,ROCK HILL,SC,Rock Hill
45091061403,45091061403.0,SC,YORK,SC,Rock Hill
45091060906,45091060906.0,SC,ROCK HILL,SC,Rock Hill
45091060906,45091060906.0,SC,YORK,SC,Rock Hill
13089023700,13089023700.0,GA,DECATUR,GA,Atlanta
13089023700,13089023700.0,GA,ATLANTA,GA,Atlanta
13089023700,13089023700.0,GA,ATLANTA,GA,Atlanta
13121009802,13121009802.0,GA,ATLANTA,GA,Sandy Springs
13121009802,13121009802.0,GA,ATLANTA,GA,Sandy Springs
13121009802,13121009802.0,GA,ATLANTA,GA,Sandy Springs
13121008101,13121008101.0,GA,ATLANTA,GA,Atlanta
13121008101,13121008101.0,GA,ATLANTA,GA,Atlanta
13121004800,13121004800.0,GA,ATLANTA,GA,Atlanta
13121002600,13121002600.0,GA,ATLANTA,GA,Atlanta
13121010002,13121010002.0,GA,ATLANTA,GA,Sandy Springs
13121010002,13121010002.0,GA,ATLANTA,GA,Sandy Springs
13121010114,13121010114.0,GA,ATLANTA,GA,Atlanta
13245001500,13245001500.0,GA,AUGUSTA,GA,Augusta
13153021103,13153021103.0,GA,BONAIRE,GA,Warner Robins
13153021103,13153021103.0,GA,KATHLEEN,GA,Warner Robins
13153021103,13153021103.0,GA,WARNER ROBINS,GA,Warner Robins
13153020106,13153020106.0,GA,BYRON,GA,Warner Robins
13153020106,13153020106.0,GA,WARNER ROBINS,GA,Warner Robins
13225040102,13225040102.0,GA,BYRON,GA,Warner Robins
13153020108,13153020108.0,GA,CENTERVILLE,GA,Warner Robins
13153020108,13153020108.0,GA,WARNER ROBINS,GA,Warner Robins
13153021201,13153021201.0,GA,FORT VALLEY,GA,Warner Robins
13153021201,13153021201.0,GA,KATHLEEN,GA,Warner Robins
13153021201,13153021201.0,GA,PERRY,GA,Warner Robins
13153021201,13153021201.0,GA,WARNER ROBINS,GA,Warner Robins
13169030104,13169030104.0,GA,GRAY,GA,Macon
13169030104,13169030104.0,GA,MACON,GA,Macon
13169030104,13169030104.0,GA,MACON,GA,Macon
13021010300,13021010300.0,GA,MACON,GA,Macon
13021010300,13021010300.0,GA,MACON,GA,Macon
13021013410,13021013410.0,GA,MACON,GA,Macon
13021013407,13021013407.0,GA,MACON,GA,Macon
13021013408,13021013408.0,GA,MACON,GA,Macon
13051010101,13051010101.0,GA,SAVANNAH,GA,Savannah
13051010101,13051010101.0,GA,SAVANNAH,GA,Savannah
13051010502,13051010502.0,GA,SAVANNAH,GA,Savannah
13051010807,13051010807.0,GA,SAVANNAH,GA,Savannah
13095010900,13095010900.0,GA,ALBANY,GA,Albany
13095010403,13095010403.0,GA,ALBANY,GA,Albany
13095010403,13095010403.0,GA,ALBANY,GA,Albany
13095010403,13095010403.0,GA,DAWSON,GA,Albany
12031013906,12031013906.0,FL,JACKSONVILLE,FL,Jacksonville
12031013906,12031013906.0,FL,ATLANTIC BEACH,FL,Jacksonville
12073002206,12073002206.0,FL,TALLAHASSEE,FL,Tallahassee
12073002208,12073002208.0,FL,TALLAHASSEE,FL,Tallahassee
12073002207,12073002207.0,FL,TALLAHASSEE,FL,Tallahassee
12073002207,12073002207.0,FL,TALLAHASSEE,FL,Tallahassee
12073002603,12073002603.0,FL,TALLAHASSEE,FL,Tallahassee
12073002603,12073002603.0,FL,CRAWFORDVILLE,FL,Tallahassee
12073002512,12073002512.0,FL,TALLAHASSEE,FL,Tallahassee
12073002512,12073002512.0,FL,TALLAHASSEE,FL,Tallahassee
12073002511,12073002511.0,FL,TALLAHASSEE,FL,Tallahassee
12073002508,12073002508.0,FL,TALLAHASSEE,FL,Tallahassee
12073002508,12073002508.0,FL,TALLAHASSEE,FL,Tallahassee
12073002508,12073002508.0,FL,MONTICELLO,FL,Tallahassee
12073002416,12073002416.0,FL,TALLAHASSEE,FL,Tallahassee
12073002416,12073002416.0,FL,TALLAHASSEE,FL,Tallahassee
12001001701,12001001701.0,FL,GAINESVILLE,FL,Gainesville
12001002219,12001002219.0,FL,GAINESVILLE,FL,Gainesville
12001002219,12001002219.0,FL,GAINESVILLE,FL,Gainesville
12001110800,12001110800.0,FL,GAINESVILLE,FL,Gainesville
12001001802,12001001802.0,FL,GAINESVILLE,FL,Gainesville
12001001802,12001001802.0,FL,ALACHUA,FL,Gainesville
12001001802,12001001802.0,FL,GAINESVILLE,FL,Gainesville
12001001908,12001001908.0,FL,GAINESVILLE,FL,Gainesville
12001001908,12001001908.0,FL,GAINESVILLE,FL,Gainesville
12001001400,12001001400.0,FL,GAINESVILLE,FL,Gainesville
12001001400,12001001400.0,FL,GAINESVILLE,FL,Gainesville
