 ZIP Code,Year,AnnualChange (%),HPI,HPI with 1990 base,HPI with 2000 base,tract,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
77077,2017,7.12,583.01,303.13,235.02,48201454400,HOUSTON,TX,0,0.042766151,0.027972028,0.003163896
77079,2017,-9.63,666.68,296.49,223.39,48201454400,HOUSTON,TX,0.018032385,0.034893993,0.025862069,0.020229088
77082,2017,.,.,.,.,48201454302,HOUSTON,TX,0.093416261,0.045650833,0.028776978,0.089156898
77082,2017,.,.,.,.,48157673002,HOUSTON,TX,0.000654691,0.013571869,0,0.001427713
77082,2017,.,.,.,.,48201452600,HOUSTON,TX,4.09E-05,0.011104257,0.003597122,0.000788999
77082,2017,.,.,.,.,48201454400,HOUSTON,TX,0,0.026526835,0.010791367,0.001840998
77083,2017,.,.,.,.,48201452600,HOUSTON,TX,0.114940012,0.169491525,0.22754491,0.118379161
77083,2017,.,.,.,.,48157672900,HOUSTON,TX,0,0.002542373,0.005988024,0.000165392
77083,2017,.,.,.,.,48157672400,HOUSTON,TX,0.036386724,0.06779661,0.071856287,0.038164151
77084,2017,5.39,267.34,216.89,166.61,48201540602,HOUSTON,TX,0.057851032,0.026470588,0.197952218,0.057530079
77084,2017,5.39,267.34,216.89,166.61,48201540501,HOUSTON,TX,0.065878208,0.15130719,0.119453925,0.072627115
77084,2017,5.39,267.34,216.89,166.61,48201454501,HOUSTON,TX,0.009285355,0.002287582,0.006825939,0.008758586
77086,2017,.,335.94,.,225.32,48201532900,HOUSTON,TX,0.003404448,0.007148531,0.007518797,0.003966335
77086,2017,.,335.94,.,225.32,48201534003,HOUSTON,TX,0.086019065,0.060365369,0.04887218,0.081938667
77086,2017,.,335.94,.,225.32,48201534002,HOUSTON,TX,0.188266001,0.123113582,0.052631579,0.176840476
77086,2017,.,335.94,.,225.32,48201534001,HOUSTON,TX,0.142986836,0.250992851,0.206766917,0.157782722
77088,2017,3.54,278.68,198.97,166.83,48201532900,HOUSTON,TX,0.094993512,0.135097493,0.134969325,0.097134084
77089,2017,14.85,357.62,269.07,184.3,48201350100,HOUSTON,TX,0.281717829,0.166467066,0.150793651,0.276298077
77090,2017,.,.,.,.,48201550401,HOUSTON,TX,0.00485196,0.03256705,0.0175,0.00790303
77090,2017,.,.,.,.,48201550301,HOUSTON,TX,0.200363897,0.123084291,0.1425,0.191418182
77090,2017,.,.,.,.,48201240702,HOUSTON,TX,0,0.018199234,0.0075,0.001987879
77090,2017,.,.,.,.,48201553200,HOUSTON,TX,0.181121464,0.312739464,0.2125,0.195054545
77090,2017,.,.,.,.,48201240701,HOUSTON,TX,0.020841374,0.013409962,0.005,0.019781818
77090,2017,.,.,.,.,48201550402,HOUSTON,TX,0.011688813,0.02059387,0.02,0.012751515
77090,2017,.,.,.,.,48201550302,HOUSTON,TX,0.272757347,0.278256705,0.365,0.27510303
77093,2017,16.23,290.55,.,241.38,48201222300,HOUSTON,TX,0.013452309,0.007042254,0.002262443,0.012561767
77093,2017,16.23,290.55,.,241.38,48201231700,HOUSTON,TX,0.087338606,0.105633803,0.092760181,0.089182592
77094,2017,.,.,.,.,48201454400,HOUSTON,TX,0.062082912,0.170138889,0.164179104,0.079135466
